0,0,1 1 1 1 1 1 1 1 1 1,8.544851,8.546067,1.000000e-03
500,0,1 1 1 1 1 1 1 1 1 1,5.098612,5.104703,4.166667e-04
1000,0,1 1 1 1 1 1 1 1 1 1,4.438712,4.416334,8.333333e-04
1500,0,1 1 1 1 1 1 1 1 1 1,4.134157,4.103476,9.996145e-04
2000,0,1 1 1 1 1 1 1 1 1 1,3.956828,3.937367,9.972495e-04
2500,0,1 1 1 1 1 1 1 1 1 1,3.852259,3.829370,9.927410e-04
3000,0,1 1 1 1 1 1 1 1 1 1,3.773157,3.748378,9.861087e-04
3500,0,1 1 1 1 1 1 1 1 1 1,3.725484,3.694476,9.773815e-04
4000,0,1 1 1 1 1 1 1 1 1 1,3.668938,3.653527,9.665974e-04
4500,0,1 1 1 1 1 1 1 1 1 1,3.636157,3.593133,9.538032e-04
5000,0,1 1 1 1 1 1 1 1 1 1,3.589847,3.539855,9.390548e-04
5500,0,1 1 1 1 1 1 1 1 1 1,3.562625,3.523171,9.224163e-04
6000,0,1 1 1 1 1 1 1 1 1 1,3.539150,3.481811,9.039603e-04
6500,0,1 1 1 1 1 1 1 1 1 1,3.526295,3.468680,8.837670e-04
7000,0,1 1 1 1 1 1 1 1 1 1,3.496496,3.461608,8.619244e-04
7500,0,1 1 1 1 1 1 1 1 1 1,3.479636,3.424706,8.385276e-04
8000,0,1 1 1 1 1 1 1 1 1 1,3.473441,3.424865,8.136785e-04
8500,0,1 1 1 1 1 1 1 1 1 1,3.448704,3.413773,7.874853e-04
9000,0,1 1 1 1 1 1 1 1 1 1,3.445553,3.394050,7.600621e-04
9500,0,1 1 1 1 1 1 1 1 1 1,3.433232,3.382969,7.315282e-04
10000,0,1 1 1 1 1 1 1 1 1 1,3.416786,3.379889,7.020079e-04
10500,0,1 1 1 1 1 1 1 1 1 1,3.409573,3.349910,6.716297e-04
11000,0,1 1 1 1 1 1 1 1 1 1,3.392351,3.350005,6.405260e-04
11500,0,1 1 1 1 1 1 1 1 1 1,3.392501,3.336205,6.088322e-04
12000,0,1 1 1 1 1 1 1 1 1 1,3.372611,3.332786,5.766862e-04
12500,0,1 1 1 1 1 1 1 1 1 1,3.376314,3.319749,5.442281e-04
13000,0,1 1 1 1 1 1 1 1 1 1,3.353012,3.312104,5.115991e-04
13500,0,1 1 1 1 1 1 1 1 1 1,3.355560,3.307120,4.789415e-04
14000,0,1 1 1 1 1 1 1 1 1 1,3.339164,3.298122,4.463972e-04
14500,0,1 1 1 1 1 1 1 1 1 1,3.328853,3.278781,4.141082e-04
15000,0,1 1 1 1 1 1 1 1 1 1,3.327361,3.274931,3.822150e-04
15500,0,1 1 1 1 1 1 1 1 1 1,3.307771,3.268530,3.508564e-04
16000,0,1 1 1 1 1 1 1 1 1 1,3.298180,3.261662,3.201690e-04
16500,0,1 1 1 1 1 1 1 1 1 1,3.299126,3.239046,2.902864e-04
17000,0,1 1 1 1 1 1 1 1 1 1,3.288990,3.244377,2.613388e-04
17500,0,1 1 1 1 1 1 1 1 1 1,3.279987,3.229022,2.334522e-04
18000,0,1 1 1 1 1 1 1 1 1 1,3.274623,3.233090,2.067480e-04
18500,0,1 1 1 1 1 1 1 1 1 1,3.261797,3.218573,1.813425e-04
19000,0,1 1 1 1 1 1 1 1 1 1,3.259159,3.218937,1.573464e-04
19500,0,1 1 1 1 1 1 1 1 1 1,3.249068,3.202126,1.348640e-04
20000,0,1 1 1 1 1 1 1 1 1 1,3.245581,3.204020,1.139934e-04
20500,0,1 1 1 1 1 1 1 1 1 1,3.240524,3.186357,9.482543e-05
21000,0,1 1 1 1 1 1 1 1 1 1,3.239344,3.189199,7.744349e-05
21500,0,1 1 1 1 1 1 1 1 1 1,3.223447,3.191305,6.192330e-05
22000,0,1 1 1 1 1 1 1 1 1 1,3.223943,3.182906,4.833244e-05
22500,0,1 1 1 1 1 1 1 1 1 1,3.231912,3.170569,3.673009e-05
23000,0,1 1 1 1 1 1 1 1 1 1,3.223939,3.177958,2.716678e-05
23500,0,1 1 1 1 1 1 1 1 1 1,3.212398,3.175141,1.968414e-05
24000,0,1 1 1 1 1 1 1 1 1 1,3.216149,3.175688,1.431477e-05
24500,0,1 1 1 1 1 1 1 1 1 1,3.222629,3.171306,1.108203e-05
24999,0,1 1 1 1 1 1 1 1 1 1,3.210917,3.171970,1.000002e-05
25000,1,*2 1 1 1 1 1 1 1 1,8.062299,8.116219,1.000000e-03
25500,1,*2 1 1 1 1 1 1 1 1,3.325761,3.281300,4.166667e-04
26000,1,*2 1 1 1 1 1 1 1 1,3.404589,3.359643,8.333333e-04
26500,1,*2 1 1 1 1 1 1 1 1,3.456528,3.410722,9.993823e-04
27000,1,*2 1 1 1 1 1 1 1 1,3.444827,3.398755,9.955944e-04
27500,1,*2 1 1 1 1 1 1 1 1,3.451467,3.392473,9.883836e-04
28000,1,*2 1 1 1 1 1 1 1 1,3.440885,3.380816,9.778002e-04
28500,1,*2 1 1 1 1 1 1 1 1,3.429027,3.384326,9.639181e-04
29000,1,*2 1 1 1 1 1 1 1 1,3.420630,3.371517,9.468341e-04
29500,1,*2 1 1 1 1 1 1 1 1,3.405297,3.362490,9.266674e-04
30000,1,*2 1 1 1 1 1 1 1 1,3.400234,3.346903,9.035587e-04
30500,1,*2 1 1 1 1 1 1 1 1,3.393983,3.352707,8.776693e-04
31000,1,*2 1 1 1 1 1 1 1 1,3.385983,3.342412,8.491797e-04
31500,1,*2 1 1 1 1 1 1 1 1,3.373923,3.325096,8.182888e-04
32000,1,*2 1 1 1 1 1 1 1 1,3.371349,3.320565,7.852120e-04
32500,1,*2 1 1 1 1 1 1 1 1,3.362786,3.309349,7.501802e-04
33000,1,*2 1 1 1 1 1 1 1 1,3.357422,3.305832,7.134377e-04
33500,1,*2 1 1 1 1 1 1 1 1,3.350068,3.297485,6.752410e-04
34000,1,*2 1 1 1 1 1 1 1 1,3.324898,3.280129,6.358565e-04
34500,1,*2 1 1 1 1 1 1 1 1,3.324427,3.281983,5.955590e-04
35000,1,*2 1 1 1 1 1 1 1 1,3.310700,3.270694,5.546297e-04
35500,1,*2 1 1 1 1 1 1 1 1,3.303872,3.253589,5.133541e-04
36000,1,*2 1 1 1 1 1 1 1 1,3.294987,3.249939,4.720202e-04
36500,1,*2 1 1 1 1 1 1 1 1,3.285382,3.237140,4.309164e-04
37000,1,*2 1 1 1 1 1 1 1 1,3.277067,3.234001,3.903295e-04
37500,1,*2 1 1 1 1 1 1 1 1,3.257782,3.215586,3.505427e-04
38000,1,*2 1 1 1 1 1 1 1 1,3.249734,3.214375,3.118335e-04
38500,1,*2 1 1 1 1 1 1 1 1,3.247310,3.208361,2.744720e-04
39000,1,*2 1 1 1 1 1 1 1 1,3.235737,3.193143,2.387190e-04
39500,1,*2 1 1 1 1 1 1 1 1,3.236875,3.194209,2.048238e-04
40000,1,*2 1 1 1 1 1 1 1 1,3.219027,3.177048,1.730229e-04
40500,1,*2 1 1 1 1 1 1 1 1,3.209904,3.167645,1.435383e-04
41000,1,*2 1 1 1 1 1 1 1 1,3.205406,3.159716,1.165756e-04
41500,1,*2 1 1 1 1 1 1 1 1,3.198970,3.161922,9.232293e-05
42000,1,*2 1 1 1 1 1 1 1 1,3.192102,3.150382,7.094954e-05
42500,1,*2 1 1 1 1 1 1 1 1,3.193398,3.155727,5.260455e-05
43000,1,*2 1 1 1 1 1 1 1 1,3.192796,3.142167,3.741594e-05
43500,1,*2 1 1 1 1 1 1 1 1,3.190577,3.150209,2.548968e-05
44000,1,*2 1 1 1 1 1 1 1 1,3.196682,3.137197,1.690899e-05
44500,1,*2 1 1 1 1 1 1 1 1,3.182117,3.134741,1.173373e-05
44999,1,*2 1 1 1 1 1 1 1 1,3.185602,3.139180,1.000003e-05
45000,2,*2 *2 1 1 1 1 1 1,3.577553,3.538175,1.000000e-03
45500,2,*2 *2 1 1 1 1 1 1,3.298924,3.256630,4.166667e-04
46000,2,*2 *2 1 1 1 1 1 1,3.375018,3.334308,8.333333e-04
46500,2,*2 *2 1 1 1 1 1 1,3.420176,3.377811,9.993823e-04
47000,2,*2 *2 1 1 1 1 1 1,3.415708,3.370212,9.955944e-04
47500,2,*2 *2 1 1 1 1 1 1,3.413098,3.379614,9.883836e-04
48000,2,*2 *2 1 1 1 1 1 1,3.414659,3.366607,9.778002e-04
48500,2,*2 *2 1 1 1 1 1 1,3.395627,3.344877,9.639181e-04
49000,2,*2 *2 1 1 1 1 1 1,3.407764,3.347405,9.468341e-04
49500,2,*2 *2 1 1 1 1 1 1,3.390347,3.348109,9.266674e-04
50000,2,*2 *2 1 1 1 1 1 1,3.381581,3.331518,9.035587e-04
50500,2,*2 *2 1 1 1 1 1 1,3.372418,3.325322,8.776693e-04
51000,2,*2 *2 1 1 1 1 1 1,3.356369,3.307919,8.491797e-04
51500,2,*2 *2 1 1 1 1 1 1,3.356898,3.312544,8.182888e-04
52000,2,*2 *2 1 1 1 1 1 1,3.351088,3.308392,7.852120e-04
52500,2,*2 *2 1 1 1 1 1 1,3.330266,3.292194,7.501802e-04
53000,2,*2 *2 1 1 1 1 1 1,3.342093,3.294465,7.134377e-04
53500,2,*2 *2 1 1 1 1 1 1,3.329006,3.275715,6.752410e-04
54000,2,*2 *2 1 1 1 1 1 1,3.309167,3.274723,6.358565e-04
54500,2,*2 *2 1 1 1 1 1 1,3.309510,3.265518,5.955590e-04
55000,2,*2 *2 1 1 1 1 1 1,3.297821,3.255502,5.546297e-04
